driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Kyle Larson,4030,Chv,5,198,8,55.344,100.173,Hendrick Motorsports,False,False,11,17,caution
BJ McLeod,3973,Chv,78,72,17,55.343,100.175,Live Fast Motorsports,False,True,38,16,caution
William Byron,4184,Chv,24,39,5,55.333,100.194,Hendrick Motorsports,False,False,18,37,caution
Alex Bowman,4045,Chv,48,198,7,55.327,100.204,Hendrick Motorsports,False,False,9,3,caution
John Hunter Nemechek,4092,Tyt,42,164,5,55.327,100.205,Legacy Motor Club,False,False,19,26,pitting out
Noah Gragson,4224,Frd,4,179,25,55.322,100.214,Front Row Motorsports,False,False,27,25,pitting in
Ricky Stenhouse Jr.,3888,Chv,47,229,6,55.321,100.216,HYAK Motorsports,False,False,37,6,pitting in
Justin Haley,4172,Chv,7,65,3,55.315,100.226,Spire Motorsports,False,False,22,23,caution
Alex Bowman,4045,Chv,48,39,12,55.311,100.233,Hendrick Motorsports,False,False,9,3,caution
Alex Bowman,4045,Chv,48,163,4,55.311,100.234,Hendrick Motorsports,False,False,9,3,pitting in
Cole Custer,4104,Frd,41,188,11,55.311,100.233,Haas Factory Team,False,False,7,19,pitting out
Zane Smith,4272,Frd,38,206,8,55.311,100.234,Front Row Motorsports,False,False,8,7,caution
Michael McDowell,3832,Chv,71,165,25,55.309,100.236,Spire Motorsports,False,False,32,18,pitting out
Chase Elliott,4062,Chv,9,113,4,55.302,100.249,Hendrick Motorsports,False,False,15,1,pitting in
Carson Hocevar,4326,Chv,77,198,13,55.298,100.256,Spire Motorsports,False,False,30,10,caution
Todd Gilliland,4231,Frd,34,42,19,55.297,100.259,Front Row Motorsports,False,False,17,27,pitting in
Austin Cindric,4180,Frd,2,42,2,55.296,100.260,Team Penske,False,False,4,38,pitting in
Carson Hocevar,4326,Chv,77,163,17,55.295,100.263,Spire Motorsports,False,False,30,10,pitting in
Riley Herbst,4269,Tyt,35,151,29,55.291,100.270,23XI Racing,False,False,20,28,green
John Hunter Nemechek,4092,Tyt,42,42,15,55.291,100.270,Legacy Motor Club,False,False,19,26,pitting in
