driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Ty Dillon,4013,Chv,10,96,11,183.924,52.065,Kaulig Racing,False,False,29,20,green
Denny Hamlin,1361,Tyt,11,89,30,183.920,52.066,Joe Gibbs Racing,True,False,17,24,green
Zane Smith,4272,Frd,38,93,18,183.920,52.066,Front Row Motorsports,False,False,23,9,green
BJ McLeod,3973,Chv,78,147,31,183.917,52.067,Live Fast Motorsports,False,True,39,28,green
Austin Hill,4133,Chv,33,90,14,183.917,52.067,Richard Childress Racing,False,True,33,22,green
Denny Hamlin,1361,Tyt,11,157,3,183.917,52.067,Joe Gibbs Racing,True,False,17,24,green
Ryan Blaney,4023,Frd,12,142,2,183.917,52.067,Team Penske,True,False,8,23,green
Brad Keselowski,1816,Frd,6,163,6,183.917,52.067,RFK Racing,False,False,20,10,green
Austin Hill,4133,Chv,33,78,11,183.913,52.068,Richard Childress Racing,False,True,33,22,green
Daniel Suarez,4113,Chv,99,18,25,183.913,52.068,Trackhouse Racing,False,False,26,12,green
Michael McDowell,3832,Chv,71,89,2,183.910,52.069,Spire Motorsports,False,False,1,17,green
William Byron,4184,Chv,24,151,18,183.910,52.069,Hendrick Motorsports,True,False,13,25,green
Austin Dillon,3873,Chv,3,151,30,183.910,52.069,Richard Childress Racing,False,False,21,27,green
Casey Mears,2215,Frd,66,192,18,183.906,52.070,Garage 66,False,False,40,18,restart
Cody Ware,4125,Frd,51,89,3,183.906,52.070,Rick Ware Racing,False,False,35,31,green
Brad Keselowski,1816,Frd,6,18,24,183.906,52.070,RFK Racing,False,False,20,10,green
Shane Van Gisbergen,4469,Chv,88,90,27,183.906,52.070,Trackhouse Racing,False,False,31,11,green
Ryan Preece,4070,Frd,60,23,24,183.903,52.071,RFK Racing,False,False,5,15,green
Josh Berry,4123,Frd,21,91,4,183.899,52.072,Wood Brothers Racing,False,False,6,33,green
John Hunter Nemechek,4092,Tyt,42,163,23,183.899,52.072,Legacy Motor Club,False,False,28,14,green
Kyle Busch,454,Chv,8,91,1,183.896,52.073,Richard Childress Racing,False,False,3,19,green
Chase Elliott,4062,Chv,9,18,27,183.896,52.073,Hendrick Motorsports,True,False,25,40,green
Cole Custer,4104,Frd,41,89,6,183.896,52.073,Haas Factory Team,False,False,12,5,green
Austin Dillon,3873,Chv,3,135,31,183.896,52.073,Richard Childress Racing,False,False,21,27,green
Brad Keselowski,1816,Frd,6,164,5,183.892,52.074,RFK Racing,False,False,20,10,green
Michael McDowell,3832,Chv,71,78,8,183.889,52.075,Spire Motorsports,False,False,1,17,green
William Byron,4184,Chv,24,78,16,183.889,52.075,Hendrick Motorsports,True,False,13,25,green
Ty Dillon,4013,Chv,10,78,10,183.889,52.075,Kaulig Racing,False,False,29,20,green
Austin Hill,4133,Chv,33,96,8,183.885,52.076,Richard Childress Racing,False,True,33,22,green
Todd Gilliland,4231,Frd,34,137,6,183.882,52.077,Front Row Motorsports,False,False,27,2,green
Daniel Suarez,4113,Chv,99,129,15,183.882,52.077,Trackhouse Racing,False,False,26,12,green
Anthony Alfredo,4301,Chv,62,163,14,183.882,52.077,Beard Motorsports,False,True,38,21,green
BJ McLeod,3973,Chv,78,17,40,183.874,52.079,Live Fast Motorsports,False,True,39,28,green
AJ Allmendinger,3774,Chv,16,18,38,183.874,52.079,Kaulig Racing,False,False,34,37,green
Casey Mears,2215,Frd,66,162,29,183.871,52.080,Garage 66,False,False,40,18,green
Tyler Reddick,4065,Tyt,45,192,14,183.871,52.080,23XI Racing,False,False,15,7,restart
Joey Logano,3859,Frd,22,95,5,183.871,52.080,Team Penske,True,False,16,16,green
Alex Bowman,4045,Chv,48,95,25,183.867,52.081,Hendrick Motorsports,False,False,11,29,green
Chase Briscoe,4228,Tyt,19,165,15,183.867,52.081,Joe Gibbs Racing,True,False,2,1,green
William Byron,4184,Chv,24,137,13,183.864,52.082,Hendrick Motorsports,True,False,13,25,green
William Byron,4184,Chv,24,157,6,183.864,52.082,Hendrick Motorsports,True,False,13,25,green
Carson Hocevar,4326,Chv,77,78,14,183.864,52.082,Spire Motorsports,False,False,32,6,green
Bubba Wallace,4025,Tyt,23,89,10,183.860,52.083,23XI Racing,False,False,10,4,green
Tyler Reddick,4065,Tyt,45,78,17,183.857,52.084,23XI Racing,False,False,15,7,green
Daniel Suarez,4113,Chv,99,23,27,183.857,52.084,Trackhouse Racing,False,False,26,12,green
Ryan Preece,4070,Frd,60,90,17,183.857,52.084,RFK Racing,False,False,5,15,green
Ryan Blaney,4023,Frd,12,91,8,183.853,52.085,Team Penske,True,False,8,23,green
Todd Gilliland,4231,Frd,34,91,10,183.850,52.086,Front Row Motorsports,False,False,27,2,green
Ryan Preece,4070,Frd,60,93,15,183.850,52.086,RFK Racing,False,False,5,15,green
Shane Van Gisbergen,4469,Chv,88,165,11,183.850,52.086,Trackhouse Racing,False,False,31,11,green
Denny Hamlin,1361,Tyt,11,164,3,183.846,52.087,Joe Gibbs Racing,True,False,17,24,green
Christopher Bell,4153,Tyt,20,129,19,183.839,52.089,Joe Gibbs Racing,True,False,7,8,green
Todd Gilliland,4231,Frd,34,164,1,183.839,52.089,Front Row Motorsports,False,False,27,2,green
Josh Berry,4123,Frd,21,95,2,183.839,52.089,Wood Brothers Racing,False,False,6,33,green
Ty Dillon,4013,Chv,10,91,13,183.839,52.089,Kaulig Racing,False,False,29,20,green
Anthony Alfredo,4301,Chv,62,93,16,183.839,52.089,Beard Motorsports,False,True,38,21,green
Ryan Blaney,4023,Frd,12,164,4,183.836,52.090,Team Penske,True,False,8,23,green
William Byron,4184,Chv,24,164,6,183.836,52.090,Hendrick Motorsports,True,False,13,25,green
Ryan Preece,4070,Frd,60,141,9,183.836,52.090,RFK Racing,False,False,5,15,green
BJ McLeod,3973,Chv,78,134,32,183.832,52.091,Live Fast Motorsports,False,True,39,28,green
Todd Gilliland,4231,Frd,34,96,9,183.832,52.091,Front Row Motorsports,False,False,27,2,green
BJ McLeod,3973,Chv,78,144,31,183.829,52.092,Live Fast Motorsports,False,True,39,28,green
Michael McDowell,3832,Chv,71,95,3,183.829,52.092,Spire Motorsports,False,False,1,17,green
