driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Ty Gibbs,4368,Tyt,54,8,6,86.524,91.535,Joe Gibbs Racing,False,False,9,2,green
Ty Gibbs,4368,Tyt,54,38,3,86.522,91.537,Joe Gibbs Racing,False,False,9,2,green
Chase Briscoe,4228,Tyt,19,58,1,86.519,91.541,Joe Gibbs Racing,False,False,5,23,green
AJ Allmendinger,3774,Chv,16,37,2,86.511,91.549,Kaulig Racing,False,False,16,6,green
Chase Briscoe,4228,Tyt,19,10,5,86.510,91.550,Joe Gibbs Racing,False,False,5,23,green
Ryan Preece,4070,Frd,60,55,12,86.508,91.552,RFK Racing,False,False,7,7,green
Ross Chastain,4001,Chv,1,44,17,86.505,91.555,Trackhouse Racing,False,False,22,10,green
John Hunter Nemechek,4092,Tyt,42,52,7,86.504,91.556,Legacy Motor Club,False,False,25,15,green
Michael McDowell,3832,Chv,71,15,1,86.504,91.556,Spire Motorsports,False,False,2,32,green
Alex Bowman,4045,Chv,48,57,27,86.504,91.556,Hendrick Motorsports,False,False,11,8,green
Tyler Reddick,4065,Tyt,45,28,2,86.502,91.559,23XI Racing,False,False,4,3,green
Chase Briscoe,4228,Tyt,19,16,5,86.499,91.562,Joe Gibbs Racing,False,False,5,23,green
Tyler Reddick,4065,Tyt,45,36,16,86.498,91.563,23XI Racing,False,False,4,3,green
Ryan Blaney,4023,Frd,12,68,20,86.491,91.570,Team Penske,False,False,17,12,green
Tyler Reddick,4065,Tyt,45,11,4,86.491,91.570,23XI Racing,False,False,4,3,green
Denny Hamlin,1361,Tyt,11,70,3,86.490,91.571,Joe Gibbs Racing,False,False,40,4,green
Ryan Preece,4070,Frd,60,13,7,86.490,91.571,RFK Racing,False,False,7,7,green
Shane Van Gisbergen,4469,Chv,88,73,1,86.488,91.573,Trackhouse Racing,False,False,1,1,green
Alex Bowman,4045,Chv,48,71,8,86.486,91.575,Hendrick Motorsports,False,False,11,8,green
Tyler Reddick,4065,Tyt,45,13,4,86.482,91.580,23XI Racing,False,False,4,3,green
Ty Gibbs,4368,Tyt,54,55,4,86.478,91.584,Joe Gibbs Racing,False,False,9,2,green
Kyle Busch,454,Chv,8,56,13,86.477,91.585,Richard Childress Racing,False,False,6,5,green
Shane Van Gisbergen,4469,Chv,88,68,1,86.476,91.586,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,14,2,86.466,91.597,Trackhouse Racing,False,False,1,1,green
Justin Haley,4172,Chv,7,37,10,86.462,91.601,Spire Motorsports,False,False,28,22,green
