driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Zane Smith,4272,Frd,38,44,20,69.758,129.017,Front Row Motorsports,False,False,15,25,pitting in
Carson Hocevar,4326,Chv,77,35,3,69.749,129.034,Spire Motorsports,False,False,3,18,caution
Kyle Busch,454,Chv,8,127,4,69.742,129.047,Richard Childress Racing,False,False,26,20,pitting out
Josh Berry,4123,Frd,21,59,3,69.738,129.055,Wood Brothers Racing,False,False,35,12,caution
Carson Hocevar,4326,Chv,77,57,1,69.737,129.057,Spire Motorsports,False,False,3,18,pitting in
Tyler Reddick,4065,Tyt,45,126,32,69.729,129.072,23XI Racing,False,False,8,32,caution
Denny Hamlin,1361,Tyt,11,85,11,69.726,129.077,Joe Gibbs Racing,False,False,1,2,caution
Chase Elliott,4062,Chv,9,57,5,69.725,129.079,Hendrick Motorsports,False,False,18,5,pitting in
Denny Hamlin,1361,Tyt,11,44,4,69.710,129.106,Joe Gibbs Racing,False,False,1,2,caution
Ricky Stenhouse Jr.,3888,Chv,47,86,2,69.707,129.112,HYAK Motorsports,False,False,30,30,caution
Brad Keselowski,1816,Frd,6,85,6,69.698,129.128,RFK Racing,False,False,14,9,caution
Kyle Larson,4030,Chv,5,85,10,69.696,129.132,Hendrick Motorsports,False,False,24,7,caution
Brad Keselowski,1816,Frd,6,80,4,69.693,129.138,RFK Racing,False,False,14,9,caution
Ty Gibbs,4368,Tyt,54,34,3,69.691,129.142,Joe Gibbs Racing,False,False,7,14,caution
Kyle Larson,4030,Chv,5,128,6,69.680,129.162,Hendrick Motorsports,False,False,24,7,caution
Austin Cindric,4180,Frd,2,44,19,69.675,129.172,Team Penske,False,False,19,10,caution
Carson Hocevar,4326,Chv,77,34,2,69.671,129.179,Spire Motorsports,False,False,3,18,caution
Josh Berry,4123,Frd,21,98,2,69.665,129.189,Wood Brothers Racing,False,False,35,12,caution
