driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Tyler Reddick,4065,Tyt,45,1,1,94.630,86.738,23XI Racing,True,False,1,10,start
Shane Van Gisbergen,4469,Chv,88,2,2,94.481,86.875,Trackhouse Racing,False,False,2,1,green
Tyler Reddick,4065,Tyt,45,2,1,94.281,87.059,23XI Racing,True,False,1,10,green
Kyle Larson,4030,Chv,5,2,3,94.258,87.080,Hendrick Motorsports,True,False,4,2,green
Shane Van Gisbergen,4469,Chv,88,3,2,94.103,87.224,Trackhouse Racing,False,False,2,1,green
Ty Gibbs,4368,Tyt,54,2,4,94.092,87.234,Joe Gibbs Racing,False,False,3,12,green
Shane Van Gisbergen,4469,Chv,88,1,2,94.086,87.239,Trackhouse Racing,False,False,2,1,start
Tyler Reddick,4065,Tyt,45,3,1,93.979,87.339,23XI Racing,True,False,1,10,green
Chris Buescher,3989,Frd,17,3,5,93.836,87.472,RFK Racing,False,False,5,4,green
Chris Buescher,3989,Frd,17,2,5,93.826,87.481,RFK Racing,False,False,5,4,green
Ty Gibbs,4368,Tyt,54,3,4,93.724,87.576,Joe Gibbs Racing,False,False,3,12,green
Michael McDowell,3832,Chv,71,2,6,93.649,87.646,Spire Motorsports,False,False,6,5,green
Michael McDowell,3832,Chv,71,3,6,93.600,87.692,Spire Motorsports,False,False,6,5,green
Kyle Larson,4030,Chv,5,3,3,93.591,87.701,Hendrick Motorsports,True,False,4,2,green
AJ Allmendinger,3774,Chv,16,16,15,93.532,87.756,Kaulig Racing,False,False,9,9,green
Ross Chastain,4001,Chv,1,2,10,93.525,87.763,Trackhouse Racing,True,False,10,21,green
Kyle Larson,4030,Chv,5,1,3,93.439,87.843,Hendrick Motorsports,True,False,4,2,start
AJ Allmendinger,3774,Chv,16,31,1,93.421,87.860,Kaulig Racing,False,False,9,9,green
Cole Custer,4104,Frd,41,99,28,93.380,87.899,Haas Factory Team,False,False,18,22,green
Chase Briscoe,4228,Tyt,19,3,7,93.368,87.910,Joe Gibbs Racing,True,False,8,14,green
Christopher Bell,4153,Tyt,20,100,3,93.331,87.945,Joe Gibbs Racing,True,False,7,3,green
Kyle Larson,4030,Chv,5,4,3,93.308,87.967,Hendrick Motorsports,True,False,4,2,green
Daniel Suarez,4113,Chv,99,2,16,93.297,87.977,Trackhouse Racing,False,False,20,7,green
Christopher Bell,4153,Tyt,20,88,4,93.294,87.980,Joe Gibbs Racing,True,False,7,3,green
Christopher Bell,4153,Tyt,20,3,8,93.277,87.996,Joe Gibbs Racing,True,False,7,3,green
