driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Chase Briscoe,4228,Tyt,19,82,6,63.868,84.550,Joe Gibbs Racing,True,False,1,4,pitting in
Ross Chastain,4001,Chv,1,82,5,63.849,84.575,Trackhouse Racing,True,False,9,11,pitting in
Carson Hocevar,4326,Chv,77,172,14,63.842,84.584,Spire Motorsports,False,False,6,29,caution
Tyler Reddick,4065,Tyt,45,82,24,63.839,84.588,23XI Racing,True,False,12,7,pitting in
Erik Jones,4059,Tyt,43,211,34,63.838,84.589,Legacy Motor Club,False,False,10,16,green
Alex Bowman,4045,Chv,48,62,17,63.762,84.690,Hendrick Motorsports,False,False,17,28,caution
Riley Herbst,4269,Tyt,35,82,26,63.724,84.741,23XI Racing,False,False,32,22,pitting in
Josh Berry,4123,Frd,21,82,25,63.709,84.760,Wood Brothers Racing,False,False,13,33,pitting in
Ryan Blaney,4023,Frd,12,82,14,63.703,84.768,Team Penske,True,False,37,24,pitting in
Shane Van Gisbergen,4469,Chv,88,81,35,63.689,84.787,Trackhouse Racing,False,False,24,10,green
Austin Dillon,3873,Chv,3,260,30,63.656,84.831,Richard Childress Racing,False,False,16,27,green
Ryan Blaney,4023,Frd,12,94,14,63.648,84.842,Team Penske,True,False,37,24,caution
Zane Smith,4272,Frd,38,216,13,63.509,85.027,Front Row Motorsports,False,False,28,31,caution
William Byron,4184,Chv,24,170,27,63.464,85.088,Hendrick Motorsports,True,False,11,9,caution
Josh Berry,4123,Frd,21,254,25,63.458,85.096,Wood Brothers Racing,False,False,13,33,caution
Ross Chastain,4001,Chv,1,258,11,63.432,85.130,Trackhouse Racing,True,False,9,11,caution
Todd Gilliland,4231,Frd,34,83,19,63.432,85.130,Front Row Motorsports,False,False,23,12,pitting out
Bubba Wallace,4025,Tyt,23,167,6,63.415,85.153,23XI Racing,True,False,7,5,pitting in
Denny Hamlin,1361,Tyt,11,57,1,63.390,85.187,Joe Gibbs Racing,True,False,2,2,caution
AJ Allmendinger,3774,Chv,16,172,11,63.368,85.216,Kaulig Racing,False,False,20,36,caution
Ricky Stenhouse Jr.,3888,Chv,47,82,16,63.338,85.257,HYAK Motorsports,False,False,18,35,pitting in
Brad Keselowski,1816,Frd,6,82,28,63.329,85.269,RFK Racing,False,False,31,8,pitting in
Ricky Stenhouse Jr.,3888,Chv,47,87,11,63.317,85.285,HYAK Motorsports,False,False,18,35,caution
Riley Herbst,4269,Tyt,35,166,33,63.280,85.335,23XI Racing,False,False,32,22,green
Michael McDowell,3832,Chv,71,222,17,63.277,85.339,Spire Motorsports,False,False,21,14,caution
William Byron,4184,Chv,24,82,15,63.276,85.341,Hendrick Motorsports,True,False,11,9,pitting in
Erik Jones,4059,Tyt,43,264,25,63.247,85.379,Legacy Motor Club,False,False,10,16,caution
Alex Bowman,4045,Chv,48,260,31,63.245,85.382,Hendrick Motorsports,False,False,17,28,green
Erik Jones,4059,Tyt,43,254,24,63.242,85.386,Legacy Motor Club,False,False,10,16,caution
Ryan Preece,4070,Frd,60,91,24,63.205,85.436,RFK Racing,False,False,19,26,pitting out
Justin Haley,4172,Chv,7,271,13,63.195,85.450,Spire Motorsports,False,False,22,18,caution
Chris Buescher,3989,Frd,17,266,13,63.186,85.462,RFK Racing,False,False,15,15,caution
Austin Cindric,4180,Frd,2,250,33,63.038,85.662,Team Penske,True,False,26,30,green
Chase Briscoe,4228,Tyt,19,167,5,62.994,85.723,Joe Gibbs Racing,True,False,1,4,pitting in
Riley Herbst,4269,Tyt,35,269,25,62.974,85.750,23XI Racing,False,False,32,22,pitting out
Zane Smith,4272,Frd,38,94,11,62.971,85.754,Front Row Motorsports,False,False,28,31,caution
Erik Jones,4059,Tyt,43,262,25,62.955,85.775,Legacy Motor Club,False,False,10,16,pitting in
Carson Hocevar,4326,Chv,77,220,21,62.911,85.836,Spire Motorsports,False,False,6,29,caution
Ty Gibbs,4368,Tyt,54,212,26,62.895,85.857,Joe Gibbs Racing,False,False,8,25,caution
Daniel Suarez,4113,Chv,99,82,29,62.871,85.890,Trackhouse Racing,False,False,30,17,pitting in
Alex Bowman,4045,Chv,48,216,14,62.813,85.970,Hendrick Motorsports,False,False,17,28,caution
Ryan Blaney,4023,Frd,12,172,12,62.805,85.981,Team Penske,True,False,37,24,caution
Austin Dillon,3873,Chv,3,82,30,62.803,85.983,Richard Childress Racing,False,False,16,27,pitting in
Brad Keselowski,1816,Frd,6,271,11,62.734,86.078,RFK Racing,False,False,31,8,caution
Ryan Preece,4070,Frd,60,260,29,62.728,86.086,RFK Racing,False,False,19,26,green
Justin Haley,4172,Chv,7,262,12,62.720,86.097,Spire Motorsports,False,False,22,18,caution
Joey Logano,3859,Frd,22,266,12,62.705,86.117,Team Penske,True,False,35,21,caution
Ricky Stenhouse Jr.,3888,Chv,47,62,15,62.668,86.169,HYAK Motorsports,False,False,18,35,caution
Cole Custer,4104,Frd,41,82,32,62.657,86.183,Haas Factory Team,False,False,27,20,caution
Riley Herbst,4269,Tyt,35,261,28,62.642,86.204,23XI Racing,False,False,32,22,caution
Ross Chastain,4001,Chv,1,262,11,62.628,86.224,Trackhouse Racing,True,False,9,11,caution
